date,pm25,pm10,no2,so2,co,AQI
2022-01-03, 26, 7, 22, 3, , 7
2022-01-04, 25, 5, 3, 3, , 5
2022-01-05, 59, 62, 3, 3, , 62
2022-01-06, 123, 8, 5, 3, , 8
2022-01-07, 18, 9, 4, 3, , 9
2022-01-08, 44, 6, 5, 3, , 6
2022-01-09, 42, 101, 6, 2, , 6
2022-01-10, 414, 45, 9, 3, , 9
2022-01-11, 59, 9, 11, 3, , 9
2022-01-12, 30, 8, 10, 3, , 8
2022-01-13, 28, 6, 7, 3, , 7
2022-01-14, 15, 6, 8, 3, , 8
2022-01-15, 17, 7, 3, 3, , 7
2022-01-16, 19, 7, 5, 3, , 7
2022-01-17, 18, 6, 16, 3, , 6
2022-01-18, 16, 9, 25, 3, , 9
2022-01-19, 23, 8, 6, 3, , 8
2022-01-20, 14, 9, 10, 3, , 9
2022-01-21, 22, 9, 6, 3, , 9
2022-01-22, 20, 9, 2, 3, , 9
2022-01-23, 40, 13, 12, 3, , 40
2022-01-24, 19, 10, 3, 3, , 3
2022-01-25, 26, 11, 12, 3, , 3
2022-01-26, 15, 11, 14, 3, , 3
2022-01-27, 19, 12, 7, 3, , 7
2022-01-28, 41, 24, 17, 3, , 41
2022-01-29, 59, 8, 1, 3, , 8
2022-01-30, 31, 11, 11, 3, , 31
2022-01-31, 17, 8, 17, 3, , 8
2021-10-01, 40, 8, , 2, , 8
2021-10-02, 31, 6, , 1, , 6
2021-10-03, 27, 10, , 2, , 27
2021-10-04, 48, 8, , 2, , 8
2021-10-05, 26, 7, , 2, , 7
2021-10-06, 52, 20, , 1, , 52
2021-10-07, 171, 9, , 1, , 9
2021-10-08, 15, 15, , 1, , 15
2021-10-09, 27, 8, , 2, , 8
2021-10-10, 17, 10, , 2, , 2
2021-10-11, 26, 79, , 1, , 79
2021-10-12, 282, 8, , 1, , 8
2021-10-13, 27, 16, , 2, , 27
2021-10-14, 48, 16, , 2, , 48
2021-10-15, 25, 7, , 2, , 7
2021-10-16, 15, 2, , 2, , 2
2021-10-17, 12, 5, , 2, , 5
2021-10-18, 11, 8, , 2, , 8
2021-10-19, 54, 14, , 2, , 54
2021-10-20, 91, 15, , 2, , 91
2021-10-21, 37, 6, , 2, , 6
2021-10-22, 16, 5, , 2, , 5
2021-10-23, 14, 6, , 1, , 6
2021-10-24, 10, 14, , 2, , 2
2021-10-25, 26, 5, , 1, , 5
2021-10-26, 26, 15, , 2, , 26
2021-10-27, 31, 25, , 3, , 31
2021-10-28, 71, 10, , 2, , 71
2021-10-29, 39, 27, , 3, , 39
2021-10-30, 81, 9, , 2, , 9
2021-10-31, 48, 17, , 2, , 48
2021-11-01, 51, 11, , 2, , 51
2021-11-02, 110, 15, , 2, , 2
2021-11-03, 34, 11, , 2, , 34
2021-11-04, 22, 11, , 2, , 22
2021-11-05, 23, 5, , 2, , 5
2021-11-06, 15, 5, , 2, , 5
2021-11-07, 11, 6, , 2, , 6
2021-11-08, 12, 6, , 2, , 6
2021-11-09, 14, 15, , 2, , 2
2021-11-10, 34, 13, , 2, , 34
2021-11-11, 54, 27, , 2, , 54
2021-11-12, 77, 4, , 2, , 77
2021-11-13, 74, 116, , 1, , 74
2021-11-14, 115, 10, , 2, , 2
2021-11-15, 23, 10, , 2, , 23
2021-11-16, 32, 9, , 3, , 9
2021-11-17, 21, 8, , 2, , 8
2021-11-18, 14, 9, , 3, , 9
2021-11-19, 17, 10, , 3, , 3
2021-11-20, 18, 9, , 3, , 9
2021-11-21, 15, 9, , 3, , 9
2021-11-22, 13, 10, , 3, , 3
2021-11-23, 18, 14, , 2, , 2
2021-11-24, 36, 9, , 3, , 9
2021-11-25, 15, 33, 23, 3, , 33
2021-11-26, 109, 9, 9, 2, , 9
2021-11-27, 26, 5, 6, 2, , 6
2021-11-28, 10, 6, 9, 3, , 9
2021-11-29, 24, 6, 13, 3, , 6
2021-11-30, 16, 8, 18, 3, , 8
2021-12-01, 25, 9, 13, 3, , 9
2021-12-02, 17, 9, 15, 2, , 9
2021-12-03, 17, 10, 24, 3, , 3
2021-12-04, 24, 55, 2, 2, , 55
2021-12-05, 97, 7, 14, 3, , 97
2021-12-06, 15, 9, 18, 3, , 9
2021-12-07, 22, 7, 4, 3, , 7
2021-12-08, 17, 47, 17, 3, , 47
2021-12-09, 62, 7, 19, 3, , 7
2021-12-10, 23, 5, 3, 2, , 5
2021-12-11, 21, 8, 1, 2, , 8
2021-12-12, 25, 8, 13, 3, , 8
2021-12-13, 16, 6, 10, 3, , 6
2021-12-14, 20, , , , , 20
2021-12-22, 20, 35, 20, 3, , 35
2021-12-23, 130, 16, 20, 3, , 3
2021-12-24, 49, 6, 2, 3, , 6
2021-12-25, 13, 5, 3, 3, , 5
2021-12-26, 17, 9, 26, 3, , 9
2021-12-27, 18, 9, 21, 3, , 9
2021-12-28, 29, 9, 9, 3, , 9
2021-12-29, 77, 46, 31, 4, , 77
2021-12-30, 143, 9, 2, 3, , 9
2021-12-31, 55, 11, , 3, , 55
2022-01-01, 135, 11, 4, 3, , 4
2022-01-02, 144, 8, 22, 4, , 8
2021-07-01, 25, 17, 8, 14, , 8
2021-07-02, 61, 31, 9, 27, , 9
2021-07-03, 85, 21, 6, 8, , 85
2021-07-04, 55, 14, 9, 4, , 9
2021-07-05, 35, 341, 8, 5, , 8
2021-07-06, 338, 14, 11, 7, , 7
2021-07-07, 32, 8, 7, 1, , 8
2021-07-08, 15, 9, 3, 1, , 9
2021-07-09, 34, 6, 2, , , 6
2021-07-10, 16, 5, 2, 1, , 5
2021-07-11, 13, 6, 4, , , 6
2021-07-12, 10, 6, 4, , , 6
2021-07-13, 14, 6, 9, 1, , 9
2021-07-14, 13, 8, 4, 1, , 8
2021-07-15, 13, 8, 9, 1, , 9
2021-07-16, 14, 6, 6, 1, , 6
2021-07-17, 16, 11, 6, 14, , 6
2021-07-18, 35, 20, 8, 39, , 8
2021-07-19, 74, 6, 10, 1, , 74
2021-07-20, 11, 7, 9, 1, , 9
2021-07-21, 20, 4, 3, , , 4
2021-07-22, 7, 4, 6, 1, , 7
2021-07-23, 8, 4, 5, 1, , 8
2021-07-24, 10, 6, 2, 1, , 6
2021-07-25, 15, 6, 3, , , 6
2021-07-26, 12, 7, 8, 1, , 8
2021-07-27, 24, 6, 8, 2, , 8
2021-07-28, 25, 9, 10, 3, , 9
2021-07-29, 35, 9, 11, 2, , 9
2021-07-30, 48, 9, 6, 2, , 9
2021-07-31, 31, 7, 3, 1, , 7
2021-08-01, 22, 7, 6, 1, , 7
2021-08-02, 16, 6, 5, 1, , 6
2021-08-03, 11, 5, 7, 1, , 7
2021-08-04, 12, 6, 10, 1, , 6
2021-08-05, 20, 7, 1, 1, , 7
2021-08-06, 25, 9, , 3, , 9
2021-08-07, 40, 6, , 1, , 6
2021-08-08, 28, 7, , 1, , 7
2021-08-09, 22, 9, , 2, , 9
2021-08-10, 46, 12, , 2, , 46
2021-08-11, 48, 14, , 8, , 8
2021-08-12, 60, 10, , 3, , 60
2021-08-13, 35, 8, , 1, , 8
2021-08-14, 26, 8, , 1, , 8
2021-08-15, 19, 8, , 1, , 8
2021-08-16, 18, 6, 1, 1, , 6
2021-08-17, 15, 6, , 1, , 6
2021-08-18, 17, 6, , 1, , 6
2021-08-19, 12, 5, , 1, , 5
2021-08-20, 13, 6, , 1, , 6
2021-08-21, 16, 4, , 1, , 4
2021-08-22, 7, 4, , 1, , 7
2021-08-23, 13, 4, , 1, , 4
2021-08-24, 9, 5, , 1, , 9
2021-08-25, 13, 4, , 1, , 4
2021-08-26, 16, 5, , 1, , 5
2021-08-27, 11, 8, , 3, , 8
2021-08-28, 20, 8, , 2, , 8
2021-08-29, 17, 7, , 2, , 7
2021-08-30, 21, 9, , 2, , 9
2021-08-31, 24, 7, , 1, , 7
2021-09-01, 13, 7, , 1, , 7
2021-09-02, 15, 6, , 1, , 6
2021-09-03, 14, 7, , , , 7
2021-09-04, 18, 7, , 1, , 7
2021-09-05, 13, 8, , 1, , 8
2021-09-06, 12, 7, , 1, , 7
2021-09-07, 13, 8, , 1, , 8
2021-09-08, 15, 9, , 2, , 9
2021-09-09, 28, 7, , 2, , 7
2021-09-10, 10, 6, , 1, , 6
2021-09-11, 15, 4, , 1, , 4
2021-09-12, 17, 6, , 1, , 6
2021-09-13, 26, 8, , 1, , 8
2021-09-14, 24, 6, , 1, , 6
2021-09-15, 12, 7, , 1, , 7
2021-09-16, 13, 7, , 1, , 7
2021-09-17, 26, 6, , 5, , 6
2021-09-18, 15, 5, , 2, , 5
2021-09-19, 17, 6, , 1, , 6
2021-09-20, 16, 43, , 1, , 43
2021-09-21, 20, 885, , 2, , 885
2021-09-22, 170, 130, , 1, , 170
2021-09-23, 12, 9, , 1, , 9
2021-09-24, 13, 6, , 1, , 6
2021-09-25, 12, 9, , 1, , 9
2021-09-26, 59, 21, , 1, , 59
2021-09-27, 104, 8, , 1, , 8
2021-09-28, 23, 11, , 2, , 23
2021-09-29, 19, 9, , 1, , 9
2021-09-30, 33, 11, , 2, , 33
2021-04-01, 24, 22, 9, , , 9
2021-04-02, 20, 11, 8, 1, , 8
2021-04-03, 12, 13, 3, , , 3
2021-04-04, 46, 14, 5, , , 5
2021-04-05, 46, 39, 11, 1, , 46
2021-04-06, 101, 16, 11, 6, , 6
2021-04-07, 34, 11, 9, 1, , 9
2021-04-08, 40, 27, 15, 1, , 40
2021-04-09, 75, 29, 12, 11, , 75
2021-04-10, 59, 5, 4, 1, , 59
2021-04-11, 14, 25, 5, , , 5
2021-04-12, 49, 34, 8, 12, , 8
2021-04-13, 69, 22, 8, , , 8
2021-04-14, 54, 5, 4, , , 54
2021-04-15, 11, 12, 8, , , 8
2021-04-16, 20, 17, 6, , , 6
2021-04-17, 24, 17, 6, 8, , 8
2021-04-18, 46, 16, 11, 3, , 46
2021-04-19, 41, 152, 17, , , 41
2021-04-20, 126, 30, 12, , , 30
2021-04-21, 45, 12, 4, , , 45
2021-04-22, 19, 17, 5, , , 5
2021-04-23, 28, 15, 3, , , 3
2021-04-24, 33, 13, 4, , , 4
2021-04-25, 32, 29, 11, 3, , 32
2021-04-26, 77, 38, 17, 1, , 77
2021-04-27, 68, 27, 8, , , 8
2021-04-28, 85, 31, 14, 14, , 85
2021-04-29, 73, 30, 14, 4, , 73
2021-04-30, 84, 14, 5, , , 84
2021-05-01, 48, 8, 3, , , 8
2021-05-02, 42, 20, 9, , , 9
2021-05-03, 80, 31, 13, 1, , 80
2021-05-04, 85, 17, 9, 1, , 9
2021-05-05, 55, 14, 7, 1, , 7
2021-05-06, 58, 13, 7, 1, , 7
2021-05-07, 46, 11, 4, , , 46
2021-05-08, 47, 23, 3, , , 47
2021-05-09, 84, 14, 7, , , 84
2021-05-10, 51, 13, 9, 1, , 9
2021-05-11, 46, 16, 16, 3, , 46
2021-05-12, 51, 10, 6, 2, , 6
2021-05-13, 27, 10, 5, 2, , 5
2021-05-14, 35, 25, 6, 1, , 6
2021-05-15, 46, 11, 3, , , 46
2021-05-16, 39, 8, 5, , , 8
2021-05-17, 32, 11, 9, 1, , 9
2021-05-18, 36, 12, 9, 6, , 9
2021-05-19, 36, 21, 13, 17, , 36
2021-05-20, 68, 16, 8, 4, , 8
2021-05-21, 62, 9, 2, 4, , 9
2021-05-22, 33, 9, 7, 1, , 9
2021-05-23, 30, 8, 3, 1, , 8
2021-05-24, 15, 17, 4, , , 4
2021-05-25, 55, 42, 3, , , 55
2021-05-26, 80, 62, 4, 1, , 80
2021-05-27, 83, 54, 4, , , 83
2021-05-28, 119, 15, 3, , , 3
2021-05-29, 25, 7, 5, , , 7
2021-05-30, 19, 9, 4, , , 9
2021-05-31, 27, 9, 6, , , 9
2021-06-01, 37, 10, 13, 3, , 37
2021-06-02, 40, 32, 5, , , 5
2021-06-03, 53, 12, 6, , , 6
2021-06-04, 19, 8, 4, , , 8
2021-06-05, 10, 6, 2, , , 6
2021-06-06, 10, 9, 12, 2, , 9
2021-06-07, 20, 16, 13, 2, , 20
2021-06-08, 45, 10, 6, 2, , 6
2021-06-09, 28, 7, 6, , , 7
2021-06-10, 12, 13, 7, 1, , 7
2021-06-11, 70, 11, 3, , , 70
2021-06-12, 29, 4, 2, , , 4
2021-06-13, 10, 7, 7, 1, , 7
2021-06-14, 32, 10, 4, , , 4
2021-06-15, 56, 15, 9, 1, , 9
2021-06-16, 56, 7, 4, 1, , 7
2021-06-17, 26, 9, 10, 5, , 9
2021-06-18, 32, 10, 4, 3, , 4
2021-06-19, 30, 8, 3, 1, , 8
2021-06-20, 20, 6, 5, 1, , 6
2021-06-21, 10, 11, 13, 1, , 13
2021-06-22, 16, 9, 8, 1, , 9
2021-06-23, 33, 11, 13, 2, , 33
2021-06-24, 33, 10, 7, 1, , 7
2021-06-25, 22, 23, 5, 6, , 6
2021-06-26, 43, 18, 6, 24, , 6
2021-06-27, 41, 13, 12, 1, , 41
2021-06-28, 31, 11, 6, 1, , 6
2021-06-29, 30, 11, 10, 8, , 8
2021-06-30, 19, 9, 14, 1, , 9
2021-01-04, 60, 12, 33, 3, , 60
2021-01-05, 24, 17, 13, 3, , 3
2021-01-06, 103, 29, 20, 3, , 3
2021-01-07, 57, 11, 12, 3, , 57
2021-01-08, 19, 23, 15, 3, , 3
2021-01-09, 54, 10, 31, 3, , 54
2021-01-10, 24, 11, 42, 4, , 42
2021-01-11, 24, 8, 8, 3, , 8
2021-01-12, 29, 5, 9, 3, , 9
2021-01-13, 12, 11, 11, 3, , 3
2021-01-14, 13, 6, 7, 3, , 7
2021-01-15, 10, 5, 8, 3, , 8
2021-01-16, 10, 8, 9, 3, , 9
2021-01-17, 10, 5, 9, 3, , 9
2021-01-18, 12, 14, 9, 3, , 9
2021-01-19, 38, 35, 17, 3, , 38
2021-01-20, 80, 27, 9, 3, , 9
2021-01-21, 70, 46, 9, 3, , 9
2021-01-22, 84, 24, 6, 3, , 84
2021-01-23, 82, 16, 7, 3, , 82
2021-01-24, 42, 58, 8, 3, , 8
2021-01-25, 139, 51, 8, 3, , 8
2021-01-26, 165, 18, 8, 3, , 8
2021-01-27, 71, 27, 20, 3, , 71
2021-01-28, 59, 17, 27, 4, , 59
2021-01-29, 35, 12, 17, 4, , 4
2021-01-30, 20, 6, 5, 3, , 6
2021-01-31, 16, 13, 9, 3, , 9
2021-02-01, 233, 154, 5, 3, , 5
2021-02-02, 53, 17, 5, 3, , 53
2021-02-03, 49, 20, 6, 3, , 6
2021-02-04, 61, 12, 6, 3, , 61
2021-02-05, 43, 13, 4, 3, , 43
2021-02-06, 48, 8, 4, 3, , 8
2021-02-07, 31, 11, 5, 3, , 5
2021-02-08, 33, 22, 11, 3, , 33
2021-02-09, 48, 9, 12, 3, , 9
2021-02-10, 13, 7, 8, 3, , 8
2021-02-11, 11, 9, 5, 3, , 9
2021-02-12, 20, 7, 5, 3, , 7
2021-02-13, 33, 5, 5, 3, , 5
2021-02-14, 17, 5, 9, 3, , 9
2021-02-15, 12, 8, 19, 3, , 8
2021-02-16, 14, 11, 25, 4, , 4
2021-02-17, 25, 8, 21, 3, , 8
2021-02-18, 16, 27, 20, 3, , 3
2021-02-19, 72, 15, 18, 3, , 72
2021-02-20, 28, 12, 17, 3, , 3
2021-02-21, 15, 8, 21, 3, , 8
2021-02-22, 13, 10, 11, 3, , 3
2021-02-23, 35, 36, 39, 4, , 4
2021-02-24, 73, 10, 19, 3, , 73
2021-02-25, 20, 12, 11, 3, , 3
2021-02-26, 19, 15, 6, 3, , 6
2021-02-27, 26, 14, 8, 4, , 8
2021-02-28, 25, 22, 20, 4, , 4
2021-03-01, 27, 8, 11, 3, , 8
2021-03-02, 10, 7, 6, 3, , 7
2021-03-03, 11, 19, 10, 3, , 3
2021-03-04, 25, 20, 8, 3, , 8
2021-03-05, 18, 31, 13, 3, , 31
2021-03-06, 70, 15, 9, 3, , 9
2021-03-07, 28, 18, 16, 3, , 3
2021-03-08, 51, 16, 17, 3, , 51
2021-03-09, 49, 7, 11, 3, , 7
2021-03-10, 9, 13, 9, 3, , 9
2021-03-11, 37, 32, 13, 3, , 37
2021-03-12, 77, 42, 15, 3, , 77
2021-03-13, 93, 40, 12, 4, , 93
2021-03-14, 81, 6, 5, 3, , 81
2021-03-15, 12, 14, 10, 4, , 4
2021-03-16, 14, 9, 8, 3, , 9
2021-03-17, 14, 7, 9, 3, , 9
2021-03-18, 12, 7, 11, 3, , 7
2021-03-19, 17, 11, 12, 3, , 3
2021-03-20, 15, 15, 5, , , 5
2021-03-21, 16, 13, 13, 10, , 16
2021-03-22, 29, 14, 14, 19, , 29
2021-03-23, 19, 15, 19, 4, , 4
2021-03-24, 27, 13, 13, 1, , 27
2021-03-25, 25, 17, 10, , , 25
2021-03-26, 51, 34, 5, , , 51
2021-03-27, 102, 7, 7, , , 7
2021-03-28, 9, 19, 9, , , 9
2021-03-29, 47, 36, 14, , , 47
2021-03-30, 84, 41, 23, 3, , 84
2021-03-31, 79, 19, 10, , , 79
2020-10-01, 10, 8, 13, 2, , 8
2020-10-02, 9, 10, 18, 2, , 9
2020-10-03, 8, 7, 14, 2, , 8
2020-10-04, 9, 13, 19, 3, , 9
2020-10-05, 9, 6, 20, 2, , 9
2020-10-06, 8, 6, 17, 2, , 8
2020-10-07, 7, 7, 15, 2, , 7
2020-10-08, 7, 9, 10, 2, , 9
2020-10-09, 9, 14, 18, 3, , 9
2020-10-10, 13, 10, 13, 2, , 2
2020-10-11, 20, 10, 15, 2, , 20
2020-10-12, 19, 4, 12, 2, , 4
2020-10-13, 6, 5, 10, 2, , 6
2020-10-14, 11, 9, 11, 2, , 9
2020-10-15, 14, 20, 16, 2, , 20
2020-10-16, 15, 14, 17, 3, , 3
2020-10-17, 10, 9, 10, 2, , 9
2020-10-18, 17, 20, 16, 2, , 20
2020-10-19, 10, 25, 19, 3, , 3
2020-10-20, 11, 9, 15, 2, , 9
2020-10-21, 6, 4, 12, 2, , 6
2020-10-22, 3, 17, 12, 2, , 3
2020-10-23, 15, 9, 11, 2, , 9
2020-10-24, 7, 13, 10, 2, , 7
2020-10-25, 13, 8, 15, 2, , 8
2020-10-26, 6, 26, 10, 2, , 6
2020-10-27, 14, 50, 10, 2, , 50
2020-10-28, 33, 39, 12, 2, , 39
2020-10-29, 26, 6, 11, 2, , 6
2020-10-30, 8, 8, 11, 2, , 8
2020-10-31, 14, 6, 11, 2, , 6
2020-11-01, 7, 8, 15, 2, , 8
2020-11-02, 9, 16, 14, 2, , 9
2020-11-03, 22, 17, 14, 2, , 22
2020-11-04, 33, 23, 10, 2, , 33
2020-11-05, 44, 15, 13, 3, , 44
2020-11-06, 29, 11, 9, 3, , 9
2020-11-07, 22, 10, 13, 3, , 3
2020-11-08, 21, 5, 9, 2, , 9
2020-11-09, 6, 8, 17, 2, , 8
2020-11-10, 15, 5, 20, 2, , 5
2020-11-11, 10, 4, 10, 2, , 4
2020-11-12, 5, 6, 17, 2, , 6
2020-11-13, 8, 7, 20, 2, , 8
2020-11-14, 7, 3, 12, 2, , 7
2020-11-15, 3, 83, 12, 2, , 83
2020-11-16, 12, 28, 16, 2, , 28
2020-11-17, 64, 67, 27, 4, , 67
2020-11-18, 120, 16, 23, 3, , 3
2020-11-19, 52, 6, 12, 2, , 6
2020-11-23, 23, 9, 36, 4, , 9
2020-11-24, 20, 5, 22, 3, , 5
2020-11-25, 15, 15, 11, 3, , 3
2020-11-26, 28, 15, 13, 3, , 3
2020-11-27, 29, 13, 12, 3, , 3
2020-11-28, 18, 6, 13, 3, , 6
2020-11-29, 14, 7, 17, 3, , 7
2020-11-30, 12, 13, 11, 2, , 2
2020-12-01, 36, 14, 10, 2, , 36
2020-12-02, 41, 24, 7, 3, , 7
2020-12-03, 110, 33, 11, 3, , 33
2020-12-04, 115, 32, 16, 3, , 32
2020-12-05, 71, 6, 7, 3, , 71
2020-12-06, 15, 4, 8, 3, , 8
2020-12-07, 9, 5, 16, 3, , 9
2020-12-08, 9, 9, 17, 3, , 9
2020-12-09, 21, 3, 12, 3, , 3
2020-12-10, 12, 5, 9, 2, , 9
2020-12-11, 29, 4, 9, 3, , 9
2020-12-12, 166, 6, 8, 3, , 8
2020-12-16, 137, 36, 22, 3, , 36
2020-12-17, 520, 14, 10, 3, , 520
2020-12-18, 37, 23, 23, 4, , 4
2020-12-19, 70, 15, 10, 3, , 70
2020-12-20, 43, 39, 21, 3, , 43
2020-12-21, 89, 35, 24, 3, , 89
2020-12-22, 66, 12, 30, 4, , 66
2020-12-23, 19, 5, 8, 3, , 8
2020-12-24, 9, 12, 5, 3, , 9
2020-12-25, 38, 8, 17, 3, , 8
2020-12-26, 17, 9, 5, 3, , 9
2020-12-27, 15, 10, 9, 3, , 9
2020-12-28, 27, 12, 24, 3, , 3
2020-12-29, 22, 10, 35, 3, , 35
2020-12-30, 20, 18, 22, 4, , 4
2020-12-31, 237, 69, 15, 4, , 69
2021-01-01, 601, 4, 7, 3, , 7
2021-01-02, 282, 4, 5, 3, , 5
2021-01-03, 184, 13, 13, 4, , 4
2020-08-03, 11, 7, 3, 1, , 7
2020-08-04, 14, 6, 2, 1, , 6
2020-08-05, 9, 7, 2, 1, , 9
2020-08-06, 10, 8, 5, 1, , 8
2020-08-07, 12, 7, 2, 2, , 7
2020-08-08, 9, 3, , 2, , 9
2020-08-09, 4, 5, 1, 2, , 5
2020-08-10, 4, 5, 2, 2, , 5
2020-08-11, 6, 10, 6, 2, , 6
2020-08-12, 13, 8, 6, 2, , 8
2020-08-13, 12, 12, 5, 2, , 5
2020-08-14, 19, 5, 2, 2, , 5
2020-08-15, 5, 7, 1, 2, , 7
2020-08-16, 11, 11, 4, 2, , 4
2020-08-17, 15, 14, 6, 2, , 6
2020-08-18, 29, 9, 8, 2, , 9
2020-08-19, 16, 9, 5, 1, , 9
2020-08-20, 11, 10, 7, 2, , 7
2020-08-21, 11, 9, 5, 1, , 9
2020-08-22, 11, 9, 7, 2, , 9
2020-08-23, 11, 10, 10, 2, , 2
2020-08-24, 12, 9, 7, 2, , 9
2020-08-25, 15, 8, 9, 2, , 9
2020-08-26, 7, 8, 7, 2, , 8
2020-08-27, 9, 8, 9, 2, , 9
2020-08-28, 12, 7, 4, 2, , 7
2020-08-29, 14, 3, , 1, , 3
2020-08-30, 5, , 1, 2, , 5
2020-08-31, 11, 7, 12, 1, , 7
2020-09-01, 11, 4, 10, 1, , 4
2020-09-02, 6, 6, 10, 1, , 6
2020-09-03, 8, 10, 7, 1, , 8
2020-09-04, 13, 7, 13, 2, , 7
2020-09-05, 7, 3, 9, 1, , 9
2020-09-06, 3, 8, 12, 1, , 8
2020-09-07, 11, 5, 11, 1, , 5
2020-09-08, 4, 8, 16, 2, , 8
2020-09-09, 11, 6, 11, 1, , 6
2020-09-10, 8, 6, 11, 1, , 8
2020-09-11, 5, 5, 11, 1, , 5
2020-09-12, 4, 4, 9, 1, , 9
2020-09-13, 2, 5, 12, 2, , 5
2020-09-14, 5, 7, 16, 2, , 7
2020-09-15, 9, 7, 11, 2, , 9
2020-09-16, 15, 12, 13, 2, , 2
2020-09-17, 25, 14, 13, 2, , 25
2020-09-18, 29, 19, 9, 2, , 9
2020-09-19, 44, 10, 8, 2, , 8
2020-09-20, 20, 12, 14, 2, , 20
2020-09-21, 21, 8, 12, 2, , 8
