date,pm25,pm10,no2,so2,co,AQI
2020-09-22, 9, 17, 12, 1, , 9
2020-09-23, 6, 8, 10, 2, , 8
2020-09-24, 8, 9, 12, 2, , 9
2020-09-25, 13, 5, 9, 2, , 9
2020-09-26, 8, 7, 13, 2, , 8
2020-09-27, 12, 9, 15, 2, , 9
2020-09-28, 8, 7, 16, 2, , 8
2020-09-29, 8, 9, 19, 2, , 9
2020-09-30, 8, 7, 15, 2, , 8
2020-04-01, 75, 14, 4, , , 75
2020-04-02, 40, 28, 4, , , 40
2020-04-03, 83, 50, , 1, , 83
2020-01-01, 76, 7, 9, 2, , 9
2020-01-02, 13, 8, 18, 2, , 8
2020-01-03, 18, 8, 4, 1, , 8
2020-01-04, 29, 12, 7, 2, , 7
2020-01-05, 15, 12, 14, 2, , 2
2020-01-06, 23, 10, 4, 1, , 4
2020-01-07, 14, 18, 10, 1, , 18
2020-01-08, 32, 12, 8, 2, , 8
2020-01-09, 20, 8, 4, 1, , 8
2020-01-10, 8, 13, 11, 2, , 8
2020-01-11, 19, 3, 1, 1, , 3
2020-01-12, 7, 7, 7, 1, , 7
2020-01-13, 12, 10, 3, 1, , 3
2020-01-14, 10, 13, 40, 3, , 40
2020-01-15, 24, 9, 15, 2, , 9
2020-01-16, 12, 12, 38, 2, , 38
2020-01-17, 24, 8, 27, 2, , 8
2020-01-18, 10, 19, 3, 2, , 3
2020-01-19, 36, 15, 6, 2, , 6
2020-01-20, 15, 9, 17, 1, , 9
2020-01-21, 7, 8, 8, 2, , 8
2020-01-22, 15, 54, 4, 1, , 54
2020-01-23, 19, 13, 13, 1, , 19
2020-01-24, 16, 8, 8, 1, , 8
2020-01-25, 11, 5, 3, 2, , 5
2020-01-26, 8, 3, 5, 2, , 8
2020-01-27, 6, 5, 20, 2, , 6
2020-01-28, 14, 7, 35, 5, , 7
2020-01-29, 17, 7, 32, 1, , 7
2020-01-30, 17, 8, 39, 1, , 8
2020-01-31, 18, 5, 26, , , 5
2020-02-01, 13, 3, 14, , , 3
2020-02-02, 9, 7, 28, 1, , 9
2020-02-03, 17, 44, 11, , , 44
2020-02-04, 12, 3, 40, 4, , 40
2020-02-05, 8, 14, 4, 3, , 8
2020-02-06, 27, 9, 2, 2, , 9
2020-02-07, 19, 9, 5, 2, , 9
2020-02-08, 12, 8, 24, 2, , 8
2020-02-09, 18, 5, 3, 1, , 5
2020-02-10, 11, 19, 15, 1, , 19
2020-02-11, 33, 29, 19, 1, , 33
2020-02-12, 53, 10, 2, , , 53
2020-02-13, 49, 2, 1, , , 49
2020-02-14, 17, , , , , 17
2020-02-16, 7, 16, 9, , , 9
2020-02-17, 36, 31, 22, , , 36
2020-02-18, 48, 4, 7, , , 7
2020-02-19, 8, 7, 11, , , 8
2020-02-20, 16, 42, 16, , , 42
2020-02-21, 88, 43, 21, , , 88
2020-02-22, 65, 10, 7, , , 7
2020-02-23, 23, 8, 20, , , 8
2020-02-24, 10, 9, 19, , , 9
2020-02-25, 19, 8, 3, , , 8
2020-02-26, 32, 8, 2, , , 8
2020-02-27, 59, 3, 2, , , 59
2020-02-28, 7, 81, 24, , , 81
2020-02-29, 130, 13, 1, , , 130
2020-03-01, 204, 9, 2, , , 9
2020-03-05, 11, 6, 12, 1, , 6
2020-03-06, 16, 14, 3, , , 3
2020-03-07, 16, 36, 11, , , 36
2020-03-08, 26, 13, 2, , , 26
2020-03-09, 16, 12, 2, , , 2
2020-03-10, 18, 11, 7, , , 7
2020-03-11, 15, 21, 12, , , 21
2020-03-12, 29, 4, 10, , , 4
2020-03-13, 16, 7, 10, , , 7
2020-03-14, 10, 18, 6, , , 6
2020-03-15, 20, 7, 10, , , 7
2020-03-16, 16, 6, 7, 1, , 7
2020-03-17, 17, 4, 4, , , 4
2020-03-18, 9, 12, 8, , , 9
2020-03-19, 20, 4, 2, , , 4
2020-03-20, 14, 5, 5, , , 5
2020-03-26, 11, 14, 5, , , 5
2020-03-27, 12, 24, 8, 1, , 8
2019-10-01, 21, 5, , , , 5
2019-10-02, 11, 4, , , , 4
2019-10-03, 7, 25, , , , 7
2019-10-04, 15, 5, , , , 5
2019-10-05, 9, 13, , , , 9
2019-10-06, 29, 5, , , , 5
2019-10-07, 5, 13, , 2, , 5
2019-10-08, 10, 8, , 1, , 8
2019-10-09, 9, 49, 7, , , 9
2019-10-10, 9, 6, 11, 1, , 9
2019-10-11, 7, 3, 3, 1, , 7
2019-10-12, 5, 5, 3, , , 5
2019-10-13, 11, 4, 2, 1, , 4
2019-10-14, 6, 6, 2, , , 6
2019-10-15, 6, 11, 16, 3, , 6
2019-10-16, 10, 26, 25, 2, , 26
2019-10-17, 24, 24, 25, 2, , 25
2019-10-18, 19, 8, 18, 2, , 8
2019-10-19, 12, 81, 6, 2, , 81
2019-10-20, 9, 11, 11, 1, , 9
2019-10-21, 10, 9, 8, 1, , 9
2019-10-22, 10, 9, 6, 1, , 9
2019-10-23, 10, 18, 5, 1, , 5
2019-10-24, 18, 13, 7, 2, , 7
2019-10-25, 13, 29, 21, 1, , 29
2019-10-26, 16, 18, 34, 2, , 34
2019-10-27, 18, 13, 37, 2, , 37
2019-10-28, 14, 9, 16, 2, , 9
2019-10-29, 17, 7, 15, 1, , 7
2019-10-30, 9, 10, 22, 2, , 9
2019-10-31, 7, 15, 17, 2, , 7
2019-11-01, 15, 20, 12, 1, , 20
2019-11-02, 14, 23, 8, 2, , 8
2019-11-03, 17, 14, 19, 2, , 2
2019-11-04, 19, 6, 16, 1, , 6
2019-11-05, 8, 5, 11, 1, , 8
2019-11-06, 6, 6, 10, 1, , 6
2019-11-07, 10, 6, 3, 1, , 6
2019-11-08, 10, 5, 6, 1, , 6
2019-11-09, 7, 7, 2, 1, , 7
2019-11-10, 10, 7, 12, 1, , 7
2019-11-11, 10, 5, 9, 1, , 9
2019-11-12, 8, 39, 33, 3, , 8
2019-11-13, 25, 22, 32, 2, , 32
2019-11-14, 18, 14, 19, 2, , 2
2019-11-15, 24, 11, 14, 1, , 24
2019-11-16, 22, 7, 16, 2, , 7
2019-11-17, 13, 3, 2, 1, , 3
2019-11-18, 7, 4, 4, 1, , 7
2019-11-19, 4, 7, 6, 1, , 7
2019-11-20, 11, 4, 4, 1, , 4
2019-11-21, 6, 9, 16, 1, , 9
2019-11-22, 12, 23, 21, 2, , 23
2019-11-23, 20, 33, 42, 3, , 42
2019-11-24, 16, 18, 54, 5, , 54
2019-11-25, 19, 16, 51, 4, , 51
2019-11-26, 16, 16, 47, 4, , 47
2019-11-27, 16, 16, 44, 3, , 44
2019-11-28, 20, 12, 35, 2, , 35
2019-11-29, 22, 10, 25, 2, , 25
2019-11-30, 12, 5, 13, 1, , 5
2019-12-01, 6, 4, 4, 1, , 6
2019-12-02, 5, 16, 12, 1, , 5
2019-12-03, 30, 11, 19, 2, , 30
2019-12-04, 19, 19, 58, 5, , 58
2019-12-05, 18, 14, 38, 2, , 38
2019-12-06, 17, 6, 3, 1, , 6
2019-12-07, 8, 10, 18, 2, , 8
2019-12-08, 13, 4, 11, 1, , 4
2019-12-09, 11, 6, 7, 1, , 7
2019-12-10, 15, 8, 7, 1, , 8
2019-12-11, 19, 7, 19, 2, , 7
2019-12-12, 11, 7, 17, 2, , 7
2019-12-13, 11, 27, 49, 3, , 49
2019-12-14, 12, 6, 25, 2, , 6
2019-12-15, 11, 6, 19, 1, , 6
2019-12-16, 7, 6, 15, 2, , 7
2019-12-17, 9, 8, 16, 1, , 9
2019-12-18, 8, 7, 29, 2, , 8
2019-12-19, 8, 8, 12, 1, , 8
2019-12-20, 9, 6, 7, 1, , 9
2019-12-25, 10, 3, 5, 2, , 5
2019-12-26, 14, 10, 17, 2, , 2
2019-12-27, 12, 8, 12, 1, , 8
2019-12-28, 9, 4, 5, 1, , 9
2019-12-29, 7, , , , , 7
2019-07-01, 8, 9, 1, 2, , 9
2019-07-02, 8, 6, 1, 1, , 8
2019-07-03, 9, 4, , 1, , 9
2019-07-04, 12, 6, , 1, , 6
2019-07-05, 7, 6, 1, 1, , 7
2019-07-06, 9, 6, 2, 3, , 9
2019-07-07, 10, 10, , 1, , 10
2019-07-08, 15, 7, , 1, , 7
2019-07-09, 13, 32, 1, 1, , 32
2019-07-10, 39, 15, 1, 1, , 39
2019-07-11, 23, 10, 1, 2, , 23
2019-07-12, 19, 5, 1, 1, , 5
2019-07-13, 15, 2, , 1, , 2
2019-07-14, 5, 4, , 1, , 5
2019-07-15, 8, 117, , 1, , 8
2019-07-16, 8, 7, 1, 3, , 8
2019-07-17, 13, 7, , 1, , 7
2019-07-18, 10, 8, , 1, , 8
2019-07-19, 11, 4, , 1, , 4
2019-07-20, 6, 4, , 1, , 6
2019-07-21, 10, 7, 1, 2, , 7
2019-07-22, 7, 8, 1, 1, , 8
2019-07-23, 12, 6, 1, 1, , 6
2019-07-24, 9, 7, 1, 1, , 9
2019-07-25, 9, 7, 1, 2, , 9
2019-07-26, 10, 5, , 1, , 5
2019-07-27, 10, 2, 1, , , 2
2019-07-28, 6, 10, 1, 2, , 6
2019-07-29, 4, 17, 1, 1, , 4
2019-07-30, 14, 27, 2, 2, , 27
2019-07-31, 35, 31, 1, 2, , 35
2019-08-01, 52, 13, 1, 1, , 52
2019-08-02, 28, 11, 1, 1, , 28
2019-08-03, 33, 9, , 2, , 9
2019-08-04, 29, 8, 1, 1, , 8
2019-08-05, 23, 6, 1, 2, , 6
2019-08-06, 15, 6, 1, 1, , 6
2019-08-07, 11, 7, 2, 1, , 7
2019-08-08, 11, 6, 2, 1, , 6
2019-08-09, 6, 10, 3, 1, , 6
2019-08-10, 8, 7, 1, 2, , 8
2019-08-11, 7, 8, 1, 1, , 8
2019-08-12, 26, 3, 3, 1, , 3
2019-08-13, 38, 3, 3, 1, , 38
2019-08-14, 97, 5, 4, 1, , 97
2019-08-15, 6, 13, 5, 1, , 6
2019-08-16, 13, 4, 2, , , 4
2019-08-17, 7, 8, 3, 1, , 8
2019-08-18, 12, 6, 4, 1, , 6
2019-08-19, 11, 39, 2, 1, , 39
2019-08-20, 47, 23, 3, 1, , 47
2019-08-21, 26, 11, 5, 3, , 5
2019-08-22, 13, 4, 4, 1, , 4
2019-08-23, 9, 5, 3, , , 9
2019-08-24, 11, 3, 1, , , 3
2019-08-25, 7, 3, 3, 1, , 7
2019-08-26, 12, 3, 1, 1, , 3
2019-08-27, 11, 1, 2, 1, , 2
2019-08-28, 7, 2, , , , 7
2019-08-29, 5, 4, , , , 5
2019-08-30, 5, 8, , , , 8
2019-08-31, 5, 2, , , , 5
2019-09-01, 7, 4, , , , 7
2019-09-02, 6, 5, , 1, , 6
2019-09-03, 7, 5, , , , 7
2019-09-04, 9, 3, , , , 9
2019-09-05, 11, 5, , , , 5
2019-09-06, 8, 3, , , , 8
2019-09-07, 4, 5, , , , 5
2019-09-08, 12, 5, , , , 5
2019-09-09, 9, 2, , , , 9
2019-09-10, 7, 4, , , , 7
2019-09-11, 9, 5, , , , 9
2019-09-12, 11, 10, , , , 11
2019-09-13, 22, 4, , , , 4
2019-09-14, 10, 6, , , , 6
2019-09-15, 17, 7, , , , 7
2019-09-16, 17, 3, , , , 3
2019-09-17, 9, 2, , , , 9
2019-09-18, 5, 5, , , , 5
2019-09-19, 6, 7, , , , 7
2019-09-20, 14, 15, , , , 15
2019-09-23, 13, 8, , , , 8
2019-09-24, 15, 5, , , , 5
2019-09-25, 6, 8, , , , 8
2019-09-26, 6, 11, , , , 6
2019-09-27, 10, 7, , , , 7
2019-09-28, 7, 9, , 1, , 9
2019-09-29, 8, 14, , 2, , 8
2019-09-30, 21, 12, , 1, , 21
2019-04-01, 16, 11, 8, , , 8
2019-04-02, 21, 17, 6, , , 6
2019-04-03, 28, 5, 6, , , 6
2019-04-04, 14, 28, 8, , , 8
2019-04-05, 26, 37, 4, , , 4
2019-04-06, 35, 34, 2, , , 35
2019-04-07, 41, 30, 5, , , 5
2019-04-08, 28, 30, 5, , , 5
2019-04-09, 25, 49, 5, , , 5
2019-04-10, 53, 172, 5, , , 53
2019-04-11, 28, 51, 3, , , 51
2019-04-12, 45, 10, 1, , , 45
2019-04-13, 22, 29, 1, , , 29
2019-04-14, 48, 9, 8, , , 9
2019-04-15, 24, 9, 3, , , 9
2019-04-16, 16, 5, 9, , , 9
2019-04-17, 13, 6, 2, , , 6
2019-04-18, 6, 8, 1, , , 8
2019-04-19, 16, 15, 1, , , 16
2019-04-20, 30, 27, 2, , , 30
2019-04-21, 49, 21, 5, , , 5
2019-04-22, 20, 6, 5, , , 6
2019-04-23, 10, 8, 12, , , 8
2019-04-24, 20, 54, 4, , , 54
2019-04-25, 80, 17, 7, , , 80
2019-04-26, 26, 35, 3, , , 35
2019-04-27, 26, 25, 1, , , 26
2019-04-28, 15, 26, 1, , , 26
2019-04-29, 31, 23, 2, , , 31
2019-04-30, 17, 13, 2, 1, , 2
2019-05-01, 15, 3, 2, 1, , 3
2019-05-02, 8, , , , , 8
2019-05-04, 19, 17, 3, , , 3
2019-05-05, 18, 22, 2, , , 22
2019-05-06, 21, 20, 2, , , 21
2019-05-07, 16, 13, 1, , , 16
2019-05-08, 14, 14, 2, , , 2
2019-05-09, 11, 14, 6, , , 6
2019-05-10, 14, 9, 5, , , 9
2019-05-11, 11, 191, 3, , , 3
2019-05-12, 15, 8, 5, , , 8
2019-05-13, 11, 36, 3, , , 36
2019-05-14, 47, 13, 5, , , 5
2019-05-15, 23, 4, 4, , , 4
2019-05-16, 12, 5, 8, , , 8
2019-05-17, 16, 5, 7, , , 7
2019-05-18, 13, 10, 6, 2, , 6
2019-05-19, 32, 5, 6, 1, , 6
2019-05-20, 11, 10, 7, 1, , 7
2019-05-21, 10, 12, 6, 2, , 6
2019-05-22, 12, 12, 6, 1, , 6
2019-05-23, 16, 14, 6, 2, , 6
2019-05-24, 27, 10, 4, 1, , 4
2019-05-25, 17, 9, 3, , , 9
2019-05-26, 12, 13, 4, 1, , 4
2019-05-27, 13, 12, 4, , , 4
2019-05-28, 13, 21, 5, 1, , 5
2019-05-29, 19, 8, 4, 1, , 8
2019-05-30, 9, 15, 8, 2, , 9
2019-05-31, 14, 21, 3, 1, , 3
2019-06-01, 23, 13, 1, , , 23
2019-06-02, 14, 28, 5, , , 5
2019-06-03, 23, 17, 5, , , 5
2019-06-04, 13, 20, 6, 1, , 6
2019-06-05, 19, 20, 8, 2, , 8
2019-06-06, 18, 14, 7, 1, , 7
2019-06-07, 14, 17, 3, , , 3
2019-06-08, 16, 11, 4, , , 4
2019-06-09, 12, 14, 2, 1, , 2
2019-06-10, 18, 18, 5, 1, , 5
2019-06-11, 26, 18, 6, , , 6
2019-06-12, 22, 14, 3, , , 3
2019-06-13, 18, 42, 4, 1, , 42
2019-06-14, 32, 26, 5, 2, , 5
2019-06-15, 23, 17, 3, 1, , 3
2019-06-16, 27, 13, 1, 1, , 27
2019-06-17, 32, 30, 2, 1, , 32
2019-06-19, 5, 8, 3, 1, , 8
2019-06-20, 7, 13, 1, 1, , 7
2019-06-21, 14, 9, 1, 2, , 9
2019-06-22, 13, 7, 2, 1, , 7
2019-06-23, 12, 9, 1, 1, , 9
2019-06-24, 10, 51, , 1, , 51
2019-06-25, 26, 9, , , , 9
2019-06-26, 27, 3, , , , 3
2019-06-27, 8, 6, , , , 8
2019-06-28, 8, 4, , 1, , 8
2019-06-29, 12, 7, , 1, , 7
2019-06-30, 11, 8, , 1, , 8
2019-03-11, 47, 36, , 6, , 6
2019-03-12, 95, 28, , 6, , 95
2019-03-13, 33, 38, , 4, , 4
2019-03-14, 42, 31, , 2, , 42
2019-03-15, 38, 22, , 1, , 38
2019-03-16, 35, 19, , 1, , 35
2019-03-17, 33, 3, , 1, , 33
2019-03-18, 27, , , 1, , 27
2019-03-19, 46, 1, , 5, , 5
2019-03-20, 60, 1, , 10, , 60
2019-03-21, 44, 1, , 2, , 44
2019-03-22, 20, 4, 6, 1, , 6
2019-03-23, 14, 14, 2, , , 2
2019-03-24, 21, 6, 7, 1, , 7
2019-03-25, 12, 37, 3, , , 37
2019-03-26, 36, 14, 1, , , 36
2019-03-27, 29, 8, 3, , , 8
2019-03-28, 17, 7, 2, , , 7
2019-03-29, 13, 5, 6, , , 6
2019-03-30, 15, 7, 4, , , 7
2019-03-31, 17, 5, 11, , , 5
2018-10-01, 12, 22, 17, , , 22
2018-10-02, 16, 13, 11, , , 16
2018-10-03, 13, 11, 10, , , 13
2018-10-04, 13, 16, 11, , , 16
2018-10-05, 12, 11, 7, , , 7
2018-10-06, 12, 12, 11, , , 12
2018-10-07, 16, 7, 8, , , 8
2018-10-08, 10, 9, 7, , , 9
2018-10-09, 10, 10, 11, , , 11
2018-10-10, 11, 9, 2, , , 9
2018-10-11, 16, 17, 8, , , 8
2018-10-12, 18, 22, 12, , , 22
2018-10-13, 15, 11, 9, , , 9
2018-10-14, 10, 15, 10, , , 15
2018-10-15, 10, 8, 11, , , 8
2018-10-16, 10, 15, 17, , , 17
2018-10-17, 11, 13, 4, , , 4
2018-10-18, 12, 18, 9, , , 9
2018-10-19, 16, 19, 3, 1, , 3
2018-10-20, 16, 21, 5, , , 5
2018-10-21, 20, 16, 14, 1, , 20
2018-10-22, 38, 17, 8, , , 8
2018-10-23, 34, 14, 10, , , 34
2018-10-24, 15, 22, 9, , , 9
2018-10-25, 13, 20, 11, 1, , 20
2018-10-26, 24, 24, 6, , , 6
2018-10-27, 25, 12, 11, , , 25
2018-10-28, 20, 11, 20, , , 20
2018-10-29, 11, 20, 21, , , 21
2018-10-30, 11, 29, 31, , , 31
2018-10-31, 19, 15, 38, 1, , 38
2018-11-01, 17, 11, 12, , , 17
2018-11-02, 14, 27, 6, , , 6
2018-11-03, 18, 14, 15, 1, , 18
2018-11-04, 13, 8, 18, , , 8
2018-11-05, 10, 7, 3, , , 7
2018-11-06, 10, 13, 14, , , 14
2018-11-07, 14, 13, 10, , , 14
2018-11-08, 20, 11, , , , 20
2018-11-09, 10, 15, , , , 15
2018-11-10, 18, 29, , 1, , 29
2018-11-11, 29, 21, , 1, , 29
2018-07-01, 6, 12, 3, 2, , 6
2018-07-02, 9, 18, 9, 2, , 9
2018-07-03, 20, 14, 7, 4, , 7
2018-07-04, 15, 25, 5, 2, , 5
2018-07-05, 12, 32, 5, 3, , 5
2018-07-06, 11, 28, 4, 2, , 4
2018-07-07, 9, 32, 1, 2, , 9
2018-07-08, 10, 16, 5, 2, , 5
2018-07-09, 23, 15, 4, 2, , 4
2018-07-10, 22, 12, 5, 2, , 5
2018-07-11, 9, 14, 11, 2, , 9
2018-07-12, 10, 7, 7, 2, , 7
2018-07-13, 7, 11, 6, 2, , 7
2018-07-14, 15, 9, 2, 2, , 9
2018-07-15, 13, 11, 3, 2, , 3
2018-07-16, 8, 10, 6, 3, , 8
2018-07-17, 22, 13, 5, 2, , 5
2018-07-18, 21, 12, 5, 3, , 5
2018-07-19, 20, 10, 5, 2, , 5
2018-07-20, 18, 9, 4, 2, , 9
2018-07-21, 9, 10, 3, 2, , 9
2018-07-22, 9, 9, 4, 3, , 9
2018-07-23, 11, 10, 5, 2, , 5
2018-07-24, 9, 9, 3, 2, , 9
2018-07-25, 11, 11, 5, 2, , 5
2018-07-26, 10, 11, 2, 2, , 2
2018-07-27, 28, 20, 4, 3, , 4
2018-07-28, 39, 20, 4, 3, , 4
2018-07-29, 61, 25, 1, 2, , 61
2018-07-30, 20, 13, 3, 2, , 3
2018-07-31, 30, 18, 2, 4, , 4
2018-08-01, 32, 13, 3, 2, , 32
2018-08-02, 17, 11, 3, 2, , 3
2018-08-03, 13, 13, 2, 3, , 3
2018-08-04, 18, 9, 1, 2, , 9
2018-08-05, 10, 14, 1, 2, , 2
2018-08-06, 7, 22, 1, 2, , 7
2018-08-07, 10, 16, 1, 2, , 2
2018-08-08, 21, 16, 2, 3, , 3
2018-08-09, 39, 8, 2, 2, , 8
2018-08-10, 23, 12, 1, 2, , 23
2018-08-11, 19, 9, 1, 2, , 9
2018-08-12, 17, 19, 2, 2, , 2
2018-08-13, 31, 12, 3, 2, , 31
2018-08-14, 17, 10, 1, 3, , 3
2018-08-15, 10, 12, 2, 3, , 3
2018-08-16, 14, 11, 2, 2, , 2
2018-08-17, 19, 10, 2, 2, , 2
2018-08-18, 24, 11, 4, 3, , 4
2018-08-21, 54, 41, 1, 2, , 54
2018-08-22, 61, 25, 1, 3, , 61
2018-08-23, 41, 60, 1, 3, , 60
2018-08-24, 30, 12, 3, 3, , 30
2018-08-25, 31, 10, 1, 3, , 31
2018-08-26, 35, 10, 1, 2, , 35
2018-08-27, 25, 8, 2, 3, , 8
2018-08-28, 41, 10, 3, 3, , 41
2018-08-29, 35, 10, 3, 2, , 35
2018-08-30, 49, 19, 2, 2, , 49
2018-08-31, 30, 22, 1, 2, , 30
2018-09-01, 35, 14, 4, 3, , 4
2018-09-02, 16, 10, 4, 21, , 4
2018-09-03, 12, 15, 7, 15, , 7
2018-09-04, 11, 11, 12, 1, , 12
2018-09-05, 15, 14, 3, , , 3
2018-09-06, 18, 27, 2, , , 27
2018-09-07, 30, 16, 3, , , 30
2018-09-08, 25, 9, 3, , , 9
2018-09-09, 12, 11, 8, , , 8
2018-09-10, 11, 12, 9, , , 9
2018-09-11, 11, 10, 5, , , 5
2018-09-12, 11, 11, 9, , , 9
2018-09-13, 15, 10, 10, 1, , 15
2018-09-14, 12, 7, 4, , , 7
2018-09-15, 11, 8, 3, , , 8
2018-09-16, 12, 12, 13, , , 13
2018-09-17, 16, 9, 9, , , 9
2018-09-18, 12, 13, 7, , , 7
2018-09-19, 13, 18, 5, , , 5
2018-09-20, 12, 11, 7, , , 7
2018-09-21, 14, 11, 14, 1, , 14
2018-09-22, 16, 10, 11, , , 16
2018-09-23, 14, 18, 6, , , 6
2018-09-24, 21, 14, 7, 1, , 7
2018-09-25, 14, 13, 14, , , 14
2018-09-26, 10, 13, 16, , , 16
2018-09-27, 10, 14, 6, , , 6
2018-09-28, 14, 13, 4, , , 4
2018-09-29, 12, 23, 11, , , 23
2018-09-30, 16, 8, 6, , , 8
2018-05-12, 31, 13, 4, 2, , 4
2018-05-13, 51, 40, 4, 2, , 51
2018-05-14, 30, 27, 11, 2, , 30
2018-05-15, 14, 21, 11, 2, , 21
2018-05-16, 22, 14, 10, 2, , 22
2018-05-17, 21, 15, 4, 2, , 4
2018-05-18, 12, 18, 7, 3, , 7
2018-05-19, 13, 9, 1, 2, , 9
2018-05-20, 19, 15, 2, 2, , 2
2018-05-21, 9, 11, 3, 2, , 9
2018-05-22, 14, 9, 3, 2, , 9
2018-05-23, 29, 29, 8, 2, , 8
2018-05-24, 26, 56, 14, 2, , 56
2018-05-25, 28, 13, 6, 2, , 6
2018-05-26, 15, 9, 9, 2, , 9
2018-05-27, 18, 15, 10, 2, , 2
2018-05-28, 9, 12, 8, 3, , 9
2018-05-29, 24, 28, 2, 2, , 28
2018-05-30, 17, 15, 9, 2, , 9
2018-05-31, 10, 9, 8, 2, , 9
2018-06-01, 19, 15, 8, 2, , 8
2018-06-02, 24, 17, 10, 3, , 3
2018-06-03, 16, 14, 5, 2, , 5
2018-06-04, 15, 12, 9, 3, , 9
2018-06-05, 35, 14, 7, 3, , 7
2018-06-06, 8, 9, 6, 2, , 9
